,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
1971,1,3,4,2,6,1,1,2,9,1,2,2,2,3,2,1,1,1,2,3,2,6
4661,2,1,5,2,2,1,1,1,9,1,3,2,2,3,2,1,1,2,3,4,5,5
5444,1,3,6,2,1,1,1,1,9,2,1,2,3,3,2,1,1,1,2,1,2,1
6526,1,3,5,1,3,1,1,2,3,2,3,1,2,3,2,1,1,1,3,4,2,4
5876,1,3,2,2,1,1,1,1,2,2,1,2,3,3,2,1,1,1,2,1,2,1
6388,1,3,5,1,3,1,1,2,3,2,3,1,2,1,2,1,1,1,3,4,2,4
6618,2,3,4,1,3,1,1,2,3,2,3,2,2,1,2,1,1,1,3,4,2,4
2619,2,2,4,2,2,1,1,1,6,2,1,2,2,2,3,1,1,1,2,2,2,2
1811,1,3,4,2,6,1,1,2,4,1,2,2,2,3,2,1,1,1,2,3,2,1
5180,1,3,2,2,1,1,1,1,9,2,1,3,2,3,2,1,1,1,2,1,2,1
3617,2,1,4,2,2,1,1,1,4,2,1,2,2,2,1,1,1,1,2,3,1,2
3649,2,1,5,2,2,1,1,1,6,2,1,2,2,2,1,1,1,1,2,2,1,2
706,5,2,4,1,2,1,1,2,1,1,2,2,2,3,2,1,1,1,2,3,1,6
1075,2,2,4,1,2,1,1,2,1,1,2,2,2,3,2,1,1,1,2,2,1,6
233,4,3,3,2,8,1,1,1,10,1,5,2,2,3,2,1,1,1,2,2,6,1
3143,2,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,2,2,1,2
1557,2,3,2,1,2,1,2,1,1,2,2,2,3,3,2,1,1,1,3,2,3,1
6708,2,1,4,1,1,1,1,2,3,2,3,2,1,1,2,1,1,1,3,4,2,4
828,2,3,1,2,8,1,2,2,1,2,1,2,2,3,2,1,1,1,2,8,2,2
2534,1,1,5,2,2,1,1,1,6,2,1,2,2,2,3,1,1,1,2,3,2,2
736,1,1,3,2,6,1,1,2,9,1,2,2,2,3,2,1,1,1,2,3,4,6
856,4,3,1,2,7,1,1,1,4,1,5,2,2,3,2,1,1,1,2,2,4,1
7087,3,3,5,1,3,1,1,2,3,2,3,2,1,1,2,1,1,1,3,4,2,3
6474,2,1,5,1,5,1,1,2,3,2,3,2,1,3,1,1,1,1,3,4,2,2
5128,1,3,6,2,1,1,1,1,1,2,1,2,2,3,2,1,1,1,2,1,2,1
1656,2,2,2,1,2,1,2,1,1,2,2,2,2,3,2,1,1,1,3,2,4,1
6476,1,3,5,1,5,1,1,2,3,2,3,2,2,3,2,1,1,1,3,4,2,4
5294,1,3,4,2,2,1,1,1,11,1,3,2,2,6,2,1,1,2,3,4,5,5
6071,2,3,4,1,3,1,1,2,3,2,3,2,2,1,2,1,1,1,3,4,2,3
